date,product Name,Product URL,Price,special_title
2023-12-14,【Lenovo】15.6吋N4120輕薄筆電(IdeaPad Slim 1/82V7005BTW/N4120/4G/128G/W11S+M365/灰),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11633854&str_category_code=2142800355&sourcePageType=4,"$7,990(售價已折)",滿1件折5000
2023-12-14,【Lenovo】15.6吋R5輕薄筆電(IdeaPad Slim 1/82R400F8TW/R5-5500U/8G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11935041&str_category_code=2142800355&sourcePageType=4,"$11,990(售價已折)",滿1件折2500
2023-12-14,【Lenovo】升級16G記憶體★15.6吋i5輕薄筆電(IdeaPad Slim 3i/82RK00QWTW/i5-1235U/8G/512G/W11/深淵藍),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11595739&str_category_code=2142800355&sourcePageType=4,"$15,111(售價已折)",滿1件折3879
2023-12-14,【Lenovo】14吋i7輕薄商用筆電(S14 G3/82TWA00FTW/i7-1255U/8+8G/512G/W11P),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865587&str_category_code=2142800355&sourcePageType=4,"$19,912(售價已折)",滿1件折5078
2023-12-14,【Lenovo】升級16G記憶體★15.6吋i5輕薄筆電(IdeaPad Slim 3i/82RK00QVTW/i5-1235U/8G/512G/W11/迷霧藍),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11595740&str_category_code=2142800355&sourcePageType=4,"$15,611(售價已折)",滿1件折3379
2023-12-14,【Lenovo】15.6吋i5 RTX3050Ti電競筆電(Legion 5/i5-12500H/16G/512GB/RTX3050TI-4G/WIN11/82RC00BTTW),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11243680&str_category_code=2142800355&sourcePageType=4,"$24,990(售價已折)",滿1件折12500
2023-12-14,【Lenovo】15.6吋i5輕薄筆電(IdeaPad Slim 3/83EM0008TW/i5-13420H/16G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865583&str_category_code=2142800355&sourcePageType=4,"$18,990",熱銷i5效能，窄邊大螢幕
2023-12-14,【Lenovo】14吋i7輕薄筆電(IdeaPad Slim 5/82XD007HTW/i7-13620H/16G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865585&str_category_code=2142800355&sourcePageType=4,"$24,990(售價已折)",滿1件折1000
2023-12-14,【Lenovo】15.6吋i5 RTX2050電競筆電(LOQ/i5-12450H/8G/512G/RTX2050-4G/W11/82XV00JFTW/灰),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11648666&str_category_code=2142800355&sourcePageType=4,"$21,990(售價已折)",滿1件折4000
2023-12-14,【Lenovo】升級16G記憶體★15.6吋i7獨顯電競筆電(Gaming 3i/82S900T6TW/i7-12650H/8G/512G/RTX3050TI/W11H),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11406107&str_category_code=2142800355&sourcePageType=4,"$27,290(售價已折)",滿1件折9700
2023-12-14,【Lenovo】15.6吋i5輕薄筆電(IdeaPad Slim 3/83ER000GTW/i5-12450H/8G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865582&str_category_code=2142800355&sourcePageType=4,"$15,111(售價已折)",滿1件折1779
2023-12-14,【Lenovo】15.6吋i5輕薄筆電(IdeaPad Slim 3i/82RK00QWTW/i5-1235U/8G/512G/W11/深淵藍),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11475972&str_category_code=2142800355&sourcePageType=4,"$15,111(售價已折)",滿1件折2879
2023-12-14,【Lenovo】獨家送紫色滑鼠★14吋i7輕薄筆電(IdeaPad Slim 5/82XD007HTW/i7-13620H/16G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11906500&str_category_code=2142800355&sourcePageType=4,"$25,490(售價已折)",滿1件折500
2023-12-14,【Lenovo】17吋i5輕薄筆電(IdeaPad 3/82RL008MTW/i5-1235U/8G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865584&str_category_code=2142800355&sourcePageType=4,"$17,990(售價已折)",滿1件折500
2023-12-14,【Lenovo】15.6吋i5輕薄筆電(IdeaPad Slim 3i/82RK00QVTW/i5-1235U/8G/512G/W11/迷霧藍),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11475974&str_category_code=2142800355&sourcePageType=4,"$15,111(售價已折)",滿1件折2879
2023-12-14,【Lenovo】14吋i3翻轉觸控筆電(IdeaPad FLEX 5/82Y00032TW/i3-1315U/8G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11774160&str_category_code=2142800355&sourcePageType=4,"$19,990(售價已折)",滿1件折5000
2023-12-14,【ThinkPad 聯想】15.6吋i5商用獨顯筆電(ThinkBook 15/i5-1235U/16G/512G/MX550/W11H),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11865644&str_category_code=2142800355&sourcePageType=4,"$20,990",
2023-12-14,【Lenovo】15.6吋i7 RTX3050Ti電競筆電(Gaming 3i/i7-12650H/8G/512G/RTX3050Ti/W11/82S900T6TW),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11348995&str_category_code=2142800355&sourcePageType=4,"$24,188(售價已折)",滿1件折12802
2023-12-14,【Lenovo】15.6吋i5輕薄筆電(IdeaPad Slim 3/83EM0007TW/i5-13420H/16G/512G/W11/藍),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11957674&str_category_code=2142800355&sourcePageType=4,"$18,990",熱銷i5效能，窄邊大螢幕
2023-12-14,【Lenovo】16吋i5 RTX3050TI電競筆電(Gaming 3i/i5-12500H/8GB/512GB/RTX3050TI-4G/W11H/82SA00C7TW),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11243878&str_category_code=2142800355&sourcePageType=4,"$25,990(售價已折)",滿1件折8000
2023-12-14,【Lenovo】15.6吋i5 RTX4050電競筆電(LOQ/i5-12450H/8G/512G/RTX4050-6G/W11/82XV00JSTW/灰),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11648667&str_category_code=2142800355&sourcePageType=4,"$24,990(售價已折)",滿1件折9000
2023-12-14,【Lenovo】15.6吋i7 RTX4050電競筆電(LOQ/i7-13620H/8G/512G/RTX4050-6G/W11/82XV008CTW/灰),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11475976&str_category_code=2142800355&sourcePageType=4,"$32,990(售價已折)",滿1件折7000
2023-12-14,【Lenovo】15.6吋i5 RTX4050電競筆電(LOQ/i5-13420H/8G/512G/RTX4050-6G/W11/82XV004NTW/灰),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11475975&str_category_code=2142800355&sourcePageType=4,"$27,990(售價已折)",滿1件折8000
2023-12-14,【Lenovo】送微軟M365+1TB雲端★15.6吋i5輕薄筆電(IdeaPad Slim 3i/82RK00QVTW/i5-1235U/8G/512G/W11),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11580703&str_category_code=2142800355&sourcePageType=4,"$16,611(售價已折)",滿1件折3379
